Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
1,B0019CW0HE,A1000XYZ,fitnessfreak,3,8,2,1303862400,Not great,Below average quality. Arrived slightly damaged. Won't be buying again.
2,B001FA1NOU,A1048XYZ,foodnerd,2,3,4,1303948800,Pretty good,Really good product. Ships quickly. Only minor complaint is the packaging.
3,B001GVISJM,A1063XYZ,snackattack42,7,10,5,1304035200,Highly recommend,Amazing quality for the price. Great for the whole family. Super fast delivery too.
4,B00171APVA,A1101XYZ,snacklover99,8,9,5,1304121600,Best ever!,Perfect! Great for the whole family. My whole family loves it. Won't buy anything else.
5,B007VTCCL2,A1115XYZ,healthyeats2020,11,15,4,1304208000,Good buy,Really good product. Ships quickly. Only minor complaint is the packaging.
6,B007VTCCL2,A1132XYZ,nutritionnerve,2,6,1,1304294400,Awful,Terrible product. Total rip-off. Complete waste of money.
7,B002GTTXGE,A1151XYZ,teatime_tina,1,6,5,1304380800,Love it!,Best grocery I've ever tried. Worth every penny. Five stars all the way!
8,B007VTCCL2,A1166XYZ,healthyeats2020,8,11,3,1304467200,Decent enough,Decent product but nothing special. Packaging was plain. Expected a bit more.
9,B002GTTXGE,A1207XYZ,teatime_tina,20,20,4,1304553600,Good buy,Great taste and quality. Freshness was good. Would buy again.
10,B0019CW0HE,A1246XYZ,sweettoothsally,8,13,2,1304640000,Probably won't reorder,Mediocre at best. Arrived slightly damaged. Save your money.
11,B001GVISJM,A1291XYZ,baking_betty,10,13,3,1304726400,It's okay,It's okay. Flavor is average. Probably won't repurchase.
12,B00813GRG4,A1309XYZ,foodnerd,12,17,3,1304812800,Decent enough,It's okay. It arrived on time. Probably won't repurchase.
13,B000LQOCH0,A1339XYZ,sweettoothsally,18,21,3,1304899200,Not bad,Middle of the road. Okay for the price. Works fine but nothing exciting.
14,B006WZJ2TK,A1377XYZ,petparentmike,1,1,4,1304985600,Pretty good,Good value for money. Good but not perfect. Will probably reorder.
15,B0019CW0HE,A1387XYZ,amazon_shopper,12,16,2,1305072000,Probably won't reorder,Disappointed with this purchase. Overpriced for what it is. Not what I expected.
16,B001GVISJM,A1417XYZ,snackattack42,8,13,3,1305158400,So-so,Decent product but nothing special. Flavor is average. Expected a bit more.
17,B00813GRG4,A1439XYZ,coffeejunkie,16,17,3,1305244800,Not bad,Decent product but nothing special. Nothing special about it. Expected a bit more.
18,B001FA1NOU,A1472XYZ,pantrypal,4,6,2,1305331200,Not great,Poor quality for the price. Overpriced for what it is. Expected much better.
19,B000LQOCH0,A1521XYZ,kitchenqueen,15,15,4,1305417600,Good buy,Solid product overall. The flavor is quite good. Just a bit pricey.
20,B001FA1NOU,A1529XYZ,pantrypal,18,18,4,1305504000,Really liked it,Really good product. Packaging could be improved. Only minor complaint is the packaging.
21,B001EQ54ZS,A1535XYZ,healthyeats2020,15,19,4,1305590400,Really liked it,Great taste and quality. Good but not perfect. Would buy again.
22,B00171APVA,A1546XYZ,wholesome_will,6,11,4,1305676800,Solid choice,Great taste and quality. Ships quickly. Would buy again.
